id, metric, key, value;
1, 'poi', 'amenity', 'theatre';
2, 'poi', 'amenity', 'cinema';
3, 'poi', 'amenity', 'community_centre';
4, 'poi', 'amenity', 'stage';
5, 'poi', 'amenity', 'library';
6, 'poi', 'amenity', 'exhibition_centre';
7, 'poi', 'tourism', 'zoo';
8, 'culture', 'tourism', 'gallery';
9, 'culture', 'tourism', 'museum';
10, 'culture', 'tourism', 'artwork';
11, 'culture', 'tourism', 'viewpoint';
12, 'culture', 'government', 'register_office';
13, 'culture', 'historic', 'memorial';
14, 'culture', 'memorial', 'statue';
15, 'religion', 'amenity', 'place_of_worship';
16, 'religion', 'religion', 'christian';
17, 'religion', 'religion', 'muslim';
18, 'religion', 'religion', 'jewish';
19, 'food', 'amenity', 'cafe';
20, 'food', 'amenity', 'restaurant';
21, 'food', 'amenity', 'fast_food';
22, 'food', 'amenity', 'ice_cream';
23, 'sport_big', 'leisure', 'ice_rink';
24, 'sport_big', 'leisure', 'stadium';
25, 'sport_big', 'leisure', 'sports_centre';
26, 'sport_big', 'leisure', 'fitness_centre';
27, 'sport_small', 'sport', 'soccer';
28, 'sport_small', 'sport', 'tennis';
29, 'sport_small', 'sport', 'basketball';
30, 'sport_small', 'sport', 'volley';
31, 'sport_small', 'sport', 'football';
32, 'game', 'amenity', 'kindergarten
33, 'game', 'leisure', 'playground'
